Far field
"Plane Wave Phi"[deg]	"Magnitude [dBV]"	"Phase [deg]"	
-1.80000000E+02	-1.10604138E+02	8.37475463E+01	
-1.79000000E+02	-1.10927681E+02	-1.40163666E+01	
-1.78000000E+02	-1.10937685E+02	-1.10137516E+02	
-1.77000000E+02	-1.11566745E+02	1.56707298E+02	
-1.76000000E+02	-1.12858886E+02	5.76622551E+01	
-1.75000000E+02	-1.13139797E+02	-4.95504098E+01	
-1.74000000E+02	-1.11766857E+02	-1.50923033E+02	
-1.73000000E+02	-1.10919003E+02	1.16452413E+02	
-1.72000000E+02	-1.11054736E+02	2.33442956E+01	
-1.71000000E+02	-1.11186844E+02	-7.49525635E+01	
-1.70000000E+02	-1.10971877E+02	-1.72385701E+02	
-1.69000000E+02	-1.10983540E+02	9.07118796E+01	
-1.68000000E+02	-1.10899764E+02	-1.06941385E+01	
-1.67000000E+02	-1.09886892E+02	-1.12100058E+02	
-1.66000000E+02	-1.08560198E+02	1.53592506E+02	
-1.65000000E+02	-1.07982029E+02	6.31027411E+01	
-1.64000000E+02	-1.07975920E+02	-2.98041734E+01	
-1.63000000E+02	-1.07890863E+02	-1.25173838E+02	
-1.62000000E+02	-1.07531528E+02	1.40638132E+02	
-1.61000000E+02	-1.07392339E+02	4.70197402E+01	
-1.60000000E+02	-1.07135055E+02	-4.78188836E+01	
-1.59000000E+02	-1.06430030E+02	-1.40874448E+02	
-1.58000000E+02	-1.05732695E+02	1.30740608E+02	
-1.57000000E+02	-1.05709501E+02	4.50332931E+01	
-1.56000000E+02	-1.06193435E+02	-4.23369147E+01	
-1.55000000E+02	-1.06663514E+02	-1.32504545E+02	
-1.54000000E+02	-1.06704400E+02	1.37776151E+02	
-1.53000000E+02	-1.06699655E+02	5.02146931E+01	
-1.52000000E+02	-1.06765202E+02	-3.61821570E+01	
-1.51000000E+02	-1.06693915E+02	-1.22252168E+02	
-1.50000000E+02	-1.06339719E+02	1.55306017E+02	
-1.49000000E+02	-1.06198523E+02	7.70488135E+01	
-1.48000000E+02	-1.06568913E+02	1.01159665E+00	
-1.47000000E+02	-1.07435578E+02	-7.54499505E+01	
-1.46000000E+02	-1.08270663E+02	-1.55041596E+02	
-1.45000000E+02	-1.08684809E+02	1.24951975E+02	
-1.44000000E+02	-1.08557087E+02	4.63861677E+01	
-1.43000000E+02	-1.08129026E+02	-2.99454289E+01	
-1.42000000E+02	-1.07419064E+02	-1.03361878E+02	
-1.41000000E+02	-1.06517623E+02	-1.73982363E+02	
-1.40000000E+02	-1.05856765E+02	1.18928755E+02	
-1.39000000E+02	-1.05477439E+02	5.31838067E+01	
-1.38000000E+02	-1.05569402E+02	-1.26186933E+01	
-1.37000000E+02	-1.05842673E+02	-8.03434638E+01	
-1.36000000E+02	-1.06027744E+02	-1.50680783E+02	
-1.35000000E+02	-1.05829896E+02	1.38761665E+02	
-1.34000000E+02	-1.05410342E+02	6.95904335E+01	
-1.33000000E+02	-1.04961627E+02	2.60464619E+00	
-1.32000000E+02	-1.04541024E+02	-6.31715190E+01	
-1.31000000E+02	-1.04048472E+02	-1.27883878E+02	
-1.30000000E+02	-1.03529349E+02	1.69870433E+02	
-1.29000000E+02	-1.03062625E+02	1.10560638E+02	
-1.28000000E+02	-1.02909975E+02	5.39021275E+01	
-1.27000000E+02	-1.03143091E+02	-1.09265906E+00	
-1.26000000E+02	-1.03807744E+02	-5.56464804E+01	
-1.25000000E+02	-1.04754021E+02	-1.11647716E+02	
-1.24000000E+02	-1.05678983E+02	-1.69134256E+02	
-1.23000000E+02	-1.06229282E+02	1.32686051E+02	
-1.22000000E+02	-1.06338647E+02	7.65926190E+01	
-1.21000000E+02	-1.06306333E+02	2.46431166E+01	
-1.20000000E+02	-1.06349696E+02	-2.35174066E+01	
-1.19000000E+02	-1.06679369E+02	-6.84692673E+01	
-1.18000000E+02	-1.07215314E+02	-1.11072190E+02	
-1.17000000E+02	-1.07944638E+02	-1.52553104E+02	
-1.16000000E+02	-1.08694523E+02	1.67445608E+02	
-1.15000000E+02	-1.09370819E+02	1.30088209E+02	
-1.14000000E+02	-1.09900970E+02	9.49737333E+01	
-1.13000000E+02	-1.10243291E+02	6.31311081E+01	
-1.12000000E+02	-1.10440782E+02	3.47984297E+01	
-1.11000000E+02	-1.10361019E+02	8.73183509E+00	
-1.10000000E+02	-1.10200726E+02	-1.47181812E+01	
-1.09000000E+02	-1.09905768E+02	-3.72319302E+01	
-1.08000000E+02	-1.09518717E+02	-5.88918613E+01	
-1.07000000E+02	-1.09176753E+02	-8.03287220E+01	
-1.06000000E+02	-1.08884121E+02	-1.01748226E+02	
-1.05000000E+02	-1.08631413E+02	-1.22689687E+02	
-1.04000000E+02	-1.08446556E+02	-1.43186334E+02	
-1.03000000E+02	-1.08262646E+02	-1.63200213E+02	
-1.02000000E+02	-1.08174280E+02	1.77984494E+02	
-1.01000000E+02	-1.08088088E+02	1.60028732E+02	
-1.00000000E+02	-1.08071385E+02	1.43223625E+02	
-9.90000000E+01	-1.07992747E+02	1.27368664E+02	
-9.80000000E+01	-1.08052832E+02	1.13463664E+02	
-9.70000000E+01	-1.08084024E+02	1.00906728E+02	
-9.60000000E+01	-1.08145320E+02	9.00952573E+01	
