Far field
"Plane Wave Phi"[deg]	"Magnitude [dBV]"	"Phase [deg]"	
0.00000000E+00	-1.34002821E+02	1.70461133E+02	
1.00000000E+00	-1.18063429E+02	-1.56667950E+02	
2.00000000E+00	-1.15953517E+02	-1.05020969E+02	
3.00000000E+00	-1.19795852E+02	-4.74050350E+01	
4.00000000E+00	-1.31110175E+02	1.07263204E+02	
5.00000000E+00	-1.19074323E+02	-1.49750753E+02	
6.00000000E+00	-1.17704104E+02	-9.40520292E+01	
7.00000000E+00	-1.24050730E+02	-4.41316586E+01	
8.00000000E+00	-1.25977437E+02	-1.58642991E+02	
9.00000000E+00	-1.17232903E+02	-1.10264036E+02	
1.00000000E+01	-1.16619620E+02	-5.61606303E+01	
1.10000000E+01	-1.21969195E+02	9.40216784E+00	
1.20000000E+01	-1.26003993E+02	1.72524152E+02	
1.30000000E+01	-1.18604408E+02	-1.06533011E+02	
1.40000000E+01	-1.18865918E+02	-4.82497541E+01	
1.50000000E+01	-1.29174494E+02	2.12397529E+01	
1.60000000E+01	-1.21850333E+02	-1.38241954E+02	
1.70000000E+01	-1.15985425E+02	-8.07064280E+01	
1.80000000E+01	-1.15866983E+02	-2.60496863E+01	
1.90000000E+01	-1.21058063E+02	3.50147021E+01	
2.00000000E+01	-1.28557069E+02	-1.64222213E+02	
2.10000000E+01	-1.19597572E+02	-7.61823646E+01	
2.20000000E+01	-1.19285575E+02	-1.93967857E+01	
2.30000000E+01	-1.28011702E+02	4.77982877E+01	
2.40000000E+01	-1.22596659E+02	-1.17831611E+02	
2.50000000E+01	-1.15748317E+02	-6.09834918E+01	
2.60000000E+01	-1.14516757E+02	-9.27619966E+00	
2.70000000E+01	-1.17234429E+02	4.40856021E+01	
2.80000000E+01	-1.26869311E+02	1.22382637E+02	
2.90000000E+01	-1.22763673E+02	-7.65291794E+01	
3.00000000E+01	-1.18391564E+02	-1.64755051E+01	
3.10000000E+01	-1.20086741E+02	3.64518206E+01	
3.20000000E+01	-1.32257746E+02	1.22473417E+02	
3.30000000E+01	-1.21099235E+02	-7.16749168E+01	
3.40000000E+01	-1.15619778E+02	-1.96151593E+01	
3.50000000E+01	-1.14581022E+02	2.84774723E+01	
3.60000000E+01	-1.16693370E+02	7.87331343E+01	
3.70000000E+01	-1.22966998E+02	1.44863653E+02	
3.80000000E+01	-1.25079937E+02	-8.38298684E+01	
3.90000000E+01	-1.20164200E+02	-1.19801044E+01	
4.00000000E+01	-1.20339830E+02	3.80841207E+01	
4.10000000E+01	-1.27403374E+02	9.19754804E+01	
4.20000000E+01	-1.26331997E+02	-7.97652246E+01	
4.30000000E+01	-1.17439340E+02	-2.97074872E+01	
4.40000000E+01	-1.14366019E+02	1.14590463E+01	
4.50000000E+01	-1.13989602E+02	5.09692122E+01	
4.60000000E+01	-1.15986473E+02	9.05880721E+01	
4.70000000E+01	-1.21478258E+02	1.34371128E+02	
4.80000000E+01	-1.33074998E+02	-1.02219055E+02	
4.90000000E+01	-1.22093967E+02	-4.44045895E+00	
5.00000000E+01	-1.18909592E+02	3.61655227E+01	
5.10000000E+01	-1.19482239E+02	7.25842583E+01	
5.20000000E+01	-1.24349436E+02	1.10524921E+02	
5.30000000E+01	-1.36369348E+02	-8.64200408E+01	
5.40000000E+01	-1.20888312E+02	-2.14780988E+01	
5.50000000E+01	-1.16098095E+02	1.17491218E+01	
5.60000000E+01	-1.14066274E+02	4.24016284E+01	
5.70000000E+01	-1.13658575E+02	7.19325786E+01	
5.80000000E+01	-1.14635758E+02	1.00979418E+02	
5.90000000E+01	-1.17169778E+02	1.30510618E+02	
6.00000000E+01	-1.22089725E+02	1.63420472E+02	
6.10000000E+01	-1.32382820E+02	-1.27078137E+02	
6.20000000E+01	-1.26414395E+02	-8.16228292E+00	
6.30000000E+01	-1.21470993E+02	2.68860750E+01	
6.40000000E+01	-1.19849197E+02	5.24961313E+01	
6.50000000E+01	-1.20224679E+02	7.43883240E+01	
6.60000000E+01	-1.22634466E+02	9.25731289E+01	
6.70000000E+01	-1.28801021E+02	9.94647972E+01	
6.80000000E+01	-1.32970120E+02	6.94884501E+00	
6.90000000E+01	-1.22881075E+02	-5.42738995E+00	
7.00000000E+01	-1.18151381E+02	6.90778232E+00	
7.10000000E+01	-1.15325907E+02	2.14520737E+01	
7.20000000E+01	-1.13511270E+02	3.60966273E+01	
7.30000000E+01	-1.12357778E+02	5.03754043E+01	
7.40000000E+01	-1.11663749E+02	6.40318606E+01	
7.50000000E+01	-1.11335495E+02	7.68909502E+01	
7.60000000E+01	-1.11290617E+02	8.90985331E+01	
7.70000000E+01	-1.11495642E+02	1.00459806E+02	
7.80000000E+01	-1.11917150E+02	1.11009323E+02	
7.90000000E+01	-1.12510201E+02	1.20798970E+02	
8.00000000E+01	-1.13272116E+02	1.29971336E+02	
8.10000000E+01	-1.14171962E+02	1.38331118E+02	
8.20000000E+01	-1.15222235E+02	1.46140015E+02	
8.30000000E+01	-1.16397896E+02	1.53380703E+02	
8.40000000E+01	-1.17720666E+02	1.60312703E+02	
8.50000000E+01	-1.19203446E+02	1.67001429E+02	
8.60000000E+01	-1.20826938E+02	1.73969907E+02	
8.70000000E+01	-1.22617105E+02	-1.78273046E+02	
8.80000000E+01	-1.24592839E+02	-1.68787285E+02	
8.90000000E+01	-1.26608896E+02	-1.55880749E+02	
9.00000000E+01	-1.28329876E+02	-1.38007019E+02	
9.10000000E+01	-1.29024563E+02	-1.15733346E+02	
9.20000000E+01	-1.28337018E+02	-9.51250657E+01	
9.30000000E+01	-1.26822813E+02	-8.06540250E+01	
9.40000000E+01	-1.25123358E+02	-7.21354097E+01	
9.50000000E+01	-1.23531172E+02	-6.77845235E+01	
9.60000000E+01	-1.22083556E+02	-6.63712551E+01	
9.70000000E+01	-1.20789732E+02	-6.67714809E+01	
9.80000000E+01	-1.19631000E+02	-6.87440007E+01	
9.90000000E+01	-1.18587591E+02	-7.19296142E+01	
1.00000000E+02	-1.17651955E+02	-7.61184054E+01	
1.01000000E+02	-1.16833530E+02	-8.12445376E+01	
1.02000000E+02	-1.16095292E+02	-8.74157103E+01	
1.03000000E+02	-1.15470907E+02	-9.43180798E+01	
1.04000000E+02	-1.14974793E+02	-1.02173706E+02	
1.05000000E+02	-1.14619034E+02	-1.10767119E+02	
1.06000000E+02	-1.14430596E+02	-1.20291722E+02	
1.07000000E+02	-1.14422437E+02	-1.30399779E+02	
1.08000000E+02	-1.14651710E+02	-1.41121574E+02	
1.09000000E+02	-1.15145545E+02	-1.52334804E+02	
1.10000000E+02	-1.15995580E+02	-1.63771798E+02	
1.11000000E+02	-1.17229363E+02	-1.74823442E+02	
1.12000000E+02	-1.18955453E+02	1.75146993E+02	
1.13000000E+02	-1.21231421E+02	1.67764214E+02	
1.14000000E+02	-1.23974136E+02	1.65943125E+02	
1.15000000E+02	-1.26530778E+02	1.72576378E+02	
1.16000000E+02	-1.27806016E+02	-1.77458960E+02	
1.17000000E+02	-1.28554679E+02	-1.72859287E+02	
1.18000000E+02	-1.30592202E+02	-1.71277299E+02	
1.19000000E+02	-1.35078347E+02	-1.46243598E+02	
1.20000000E+02	-1.30879962E+02	-9.08639862E+01	
1.21000000E+02	-1.24352522E+02	-9.12395135E+01	
1.22000000E+02	-1.20437350E+02	-1.06551624E+02	
1.23000000E+02	-1.18149534E+02	-1.26950485E+02	
1.24000000E+02	-1.17125154E+02	-1.49360237E+02	
1.25000000E+02	-1.17300815E+02	-1.72806756E+02	
1.26000000E+02	-1.18834420E+02	1.64295314E+02	
1.27000000E+02	-1.22185767E+02	1.45308878E+02	
1.28000000E+02	-1.28147264E+02	1.44917900E+02	
1.29000000E+02	-1.29291864E+02	-1.72258161E+02	
1.30000000E+02	-1.25657331E+02	-1.72601966E+02	
1.31000000E+02	-1.25713284E+02	1.66909085E+02	
1.32000000E+02	-1.31785223E+02	1.49603298E+02	
1.33000000E+02	-1.31678582E+02	-9.92150945E+01	
1.34000000E+02	-1.21734446E+02	-1.18296386E+02	
1.35000000E+02	-1.17738912E+02	-1.48489963E+02	
