Far field
"Plane Wave Phi"[deg]	"Magnitude [dBV]"	"Phase [deg]"	
0.00000000E+00	-1.15016305E+02	-5.92805900E+00	
1.00000000E+00	-1.14509508E+02	8.58442458E+01	
2.00000000E+00	-1.15155726E+02	1.67514676E+02	
3.00000000E+00	-1.16009039E+02	-1.24426471E+02	
4.00000000E+00	-1.18097798E+02	-7.37470538E+01	
5.00000000E+00	-1.20032613E+02	-5.31629328E+01	
6.00000000E+00	-1.22459111E+02	-6.92098308E+01	
7.00000000E+00	-1.22726968E+02	-1.29441423E+02	
8.00000000E+00	-1.21251027E+02	1.48998056E+02	
9.00000000E+00	-1.18383312E+02	3.92800696E+01	
1.00000000E+01	-1.16178354E+02	-1.03926643E+02	
1.10000000E+01	-1.14620199E+02	6.27204457E+01	
1.20000000E+01	-1.13226632E+02	-1.78821118E+02	
1.30000000E+01	-1.12394656E+02	-1.14356782E+02	
1.40000000E+01	-1.12349255E+02	-1.10741495E+02	
1.50000000E+01	-1.12575205E+02	-1.71271808E+02	
1.60000000E+01	-1.13533680E+02	5.81886456E+01	
1.70000000E+01	-1.15068152E+02	-1.39989309E+02	
1.80000000E+01	-1.17238311E+02	-4.57343114E+01	
1.90000000E+01	-1.17707565E+02	-2.71906442E+01	
2.00000000E+01	-1.15334474E+02	-1.03354473E+02	
2.10000000E+01	-1.12852312E+02	7.24088574E+01	
2.20000000E+01	-1.10855788E+02	1.41974914E+02	
2.30000000E+01	-1.09835586E+02	1.05440927E+02	
2.40000000E+01	-1.09325202E+02	-4.00134782E+01	
2.50000000E+01	-1.09551219E+02	6.36471146E+01	
2.60000000E+01	-1.10289849E+02	5.26240243E+01	
2.70000000E+01	-1.11033528E+02	-7.50993011E+01	
2.80000000E+01	-1.11251888E+02	3.48796539E+01	
2.90000000E+01	-1.10695851E+02	1.71914885E+01	
3.00000000E+01	-1.09485613E+02	-1.40281326E+02	
3.10000000E+01	-1.08137189E+02	-8.27750778E+01	
3.20000000E+01	-1.07274951E+02	-1.69978345E+02	
3.30000000E+01	-1.06665375E+02	-4.64271018E+01	
3.40000000E+01	-1.06644659E+02	-7.48808889E+01	
3.50000000E+01	-1.07111886E+02	1.02112842E+02	
3.60000000E+01	-1.07688325E+02	1.22339189E+02	
3.70000000E+01	-1.08541982E+02	-1.76499547E+01	
3.80000000E+01	-1.09081268E+02	3.87538284E+01	
3.90000000E+01	-1.09029746E+02	-7.61004313E+01	
4.00000000E+01	-1.08522141E+02	-6.30708748E+00	
4.10000000E+01	-1.07807763E+02	-1.19193746E+02	
4.20000000E+01	-1.07258370E+02	-5.71132917E+01	
4.30000000E+01	-1.06985576E+02	1.77352892E+02	
4.40000000E+01	-1.07092402E+02	-1.38265376E+02	
4.50000000E+01	-1.07514812E+02	7.31807158E+01	
4.60000000E+01	-1.08110175E+02	8.97647929E+01	
4.70000000E+01	-1.08795256E+02	-9.16369221E+01	
4.80000000E+01	-1.09466740E+02	-1.14138422E+02	
4.90000000E+01	-1.09584684E+02	1.76356317E+01	
5.00000000E+01	-1.09493550E+02	-6.29002810E+01	
5.10000000E+01	-1.09147486E+02	3.45591578E+00	
5.20000000E+01	-1.08864387E+02	-1.51464682E+02	
5.30000000E+01	-1.08895526E+02	-1.65478140E+02	
5.40000000E+01	-1.09165410E+02	-4.44186538E+01	
5.50000000E+01	-1.09806378E+02	-1.47355560E+02	
5.60000000E+01	-1.10939831E+02	-1.18962315E+02	
5.70000000E+01	-1.12270223E+02	4.15868488E+01	
