Far field
"Plane Wave Phi"[deg]	"Magnitude [dBV]"	"Phase [deg]"	
0.00000000E+00	-1.10244127E+02	1.38538927E+02	
1.00000000E+00	-1.08142344E+02	-1.38829459E+02	
2.00000000E+00	-1.08803120E+02	-6.32647152E+01	
3.00000000E+00	-1.11684062E+02	2.76751967E+01	
4.00000000E+00	-1.11132123E+02	1.37006965E+02	
5.00000000E+00	-1.08891391E+02	-1.38692423E+02	
6.00000000E+00	-1.09135939E+02	-6.37572618E+01	
7.00000000E+00	-1.10893584E+02	2.36333518E+01	
8.00000000E+00	-1.10437905E+02	1.27539589E+02	
9.00000000E+00	-1.07846715E+02	-1.45665221E+02	
1.00000000E+01	-1.07196955E+02	-6.97206389E+01	
1.10000000E+01	-1.08818923E+02	1.08916030E+01	
1.20000000E+01	-1.10529764E+02	1.13324914E+02	
1.30000000E+01	-1.08691047E+02	-1.48106709E+02	
1.40000000E+01	-1.07866597E+02	-6.94570035E+01	
1.50000000E+01	-1.09510737E+02	7.30665599E+00	
1.60000000E+01	-1.12908605E+02	9.76705087E+01	
1.70000000E+01	-1.13429302E+02	-1.65002704E+02	
1.80000000E+01	-1.13651087E+02	-9.25649247E+01	
1.90000000E+01	-1.15092771E+02	-4.28004686E+01	
2.00000000E+01	-1.17367426E+02	-8.29731920E+00	
2.10000000E+01	-1.20018073E+02	4.45338623E+01	
2.20000000E+01	-1.20740419E+02	1.51601964E+02	
2.30000000E+01	-1.14810993E+02	-1.15569753E+02	
2.40000000E+01	-1.11722252E+02	-5.20746436E+01	
2.50000000E+01	-1.11500205E+02	7.07967163E+00	
2.60000000E+01	-1.13853975E+02	7.34603217E+01	
2.70000000E+01	-1.16236433E+02	1.56154246E+02	
2.80000000E+01	-1.14326373E+02	-1.20438254E+02	
2.90000000E+01	-1.11880743E+02	-5.92578621E+01	
3.00000000E+01	-1.10615635E+02	-3.75693834E+00	
3.10000000E+01	-1.11046346E+02	5.79766626E+01	
3.20000000E+01	-1.12306413E+02	1.36363629E+02	
3.30000000E+01	-1.11308123E+02	-1.35063005E+02	
3.40000000E+01	-1.09144736E+02	-6.03224803E+01	
3.50000000E+01	-1.08186898E+02	3.00141319E+00	
3.60000000E+01	-1.09304402E+02	6.52905360E+01	
3.70000000E+01	-1.11873757E+02	1.35556946E+02	
3.80000000E+01	-1.13181341E+02	-1.41010678E+02	
3.90000000E+01	-1.11911897E+02	-6.60384807E+01	
4.00000000E+01	-1.10803953E+02	-9.00098455E+00	
4.10000000E+01	-1.10810177E+02	4.21107596E+01	
4.20000000E+01	-1.12060674E+02	9.45465464E+01	
4.30000000E+01	-1.14008316E+02	1.60691080E+02	
4.40000000E+01	-1.14594248E+02	-1.19724530E+02	
4.50000000E+01	-1.12344048E+02	-5.08132879E+01	
4.60000000E+01	-1.11073580E+02	2.96609310E+00	
4.70000000E+01	-1.11178592E+02	4.96893713E+01	
4.80000000E+01	-1.12449975E+02	9.31391463E+01	
4.90000000E+01	-1.14682365E+02	1.42812637E+02	
5.00000000E+01	-1.15885909E+02	-1.58621731E+02	
5.10000000E+01	-1.14229031E+02	-9.45306423E+01	
5.20000000E+01	-1.11094593E+02	-4.11262967E+01	
5.30000000E+01	-1.08741869E+02	1.49886588E+00	
5.40000000E+01	-1.07706199E+02	4.41210170E+01	
5.50000000E+01	-1.07898051E+02	8.71707489E+01	
5.60000000E+01	-1.09120945E+02	1.31524714E+02	
5.70000000E+01	-1.11373234E+02	-1.79645534E+02	
5.80000000E+01	-1.13643383E+02	-1.24637544E+02	
5.90000000E+01	-1.14427040E+02	-7.19797911E+01	
6.00000000E+01	-1.14217597E+02	-3.41338811E+01	
6.10000000E+01	-1.13101474E+02	-1.11522590E+01	
6.20000000E+01	-1.11253886E+02	9.64982260E+00	
6.30000000E+01	-1.09191405E+02	3.18520811E+01	
6.40000000E+01	-1.07730933E+02	5.81763708E+01	
6.50000000E+01	-1.07182904E+02	8.60638575E+01	
6.60000000E+01	-1.07395480E+02	1.15534707E+02	
6.70000000E+01	-1.08639614E+02	1.43766454E+02	
6.80000000E+01	-1.10555911E+02	1.70392751E+02	
6.90000000E+01	-1.13184784E+02	-1.67177512E+02	
7.00000000E+01	-1.16169899E+02	-1.51741183E+02	
7.10000000E+01	-1.17032015E+02	-1.47325126E+02	
7.20000000E+01	-1.15853455E+02	-1.35403734E+02	
7.30000000E+01	-1.13901492E+02	-1.14405119E+02	
7.40000000E+01	-1.11933101E+02	-9.00414523E+01	
7.50000000E+01	-1.10857638E+02	-6.32625605E+01	
7.60000000E+01	-1.10054300E+02	-3.86077952E+01	
7.70000000E+01	-1.10175768E+02	-1.48132350E+01	
7.80000000E+01	-1.10938285E+02	7.93967143E+00	
7.90000000E+01	-1.12706145E+02	2.88221078E+01	
8.00000000E+01	-1.16237743E+02	4.89778226E+01	
8.10000000E+01	-1.23362631E+02	7.14359801E+01	
8.20000000E+01	-1.33540753E+02	-1.06395455E+02	
8.30000000E+01	-1.18597572E+02	-8.36720561E+01	
8.40000000E+01	-1.13860947E+02	-7.01436140E+01	
8.50000000E+01	-1.11450055E+02	-5.60241810E+01	
8.60000000E+01	-1.10137071E+02	-4.58284764E+01	
8.70000000E+01	-1.09545681E+02	-3.49792413E+01	
8.80000000E+01	-1.09760051E+02	-2.72554021E+01	
8.90000000E+01	-1.10414523E+02	-2.14525324E+01	
9.00000000E+01	-1.12024150E+02	-1.59260940E+01	
9.10000000E+01	-1.15097515E+02	-1.15174838E+01	
9.20000000E+01	-1.20155468E+02	-4.37150502E+00	
9.30000000E+01	-1.34383726E+02	4.67068455E+01	
9.40000000E+01	-1.21390132E+02	1.43642050E+02	
9.50000000E+01	-1.15774694E+02	1.44677459E+02	
9.60000000E+01	-1.13061454E+02	1.40280172E+02	
9.70000000E+01	-1.11658716E+02	1.31430927E+02	
9.80000000E+01	-1.11228120E+02	1.20602559E+02	
9.90000000E+01	-1.11674605E+02	1.09692503E+02	
1.00000000E+02	-1.12767584E+02	9.41424884E+01	
1.01000000E+02	-1.15146460E+02	7.93013492E+01	
1.02000000E+02	-1.19299896E+02	6.40070979E+01	
1.03000000E+02	-1.26794052E+02	5.42937710E+01	
1.04000000E+02	-1.33452585E+02	1.34224334E+02	
1.05000000E+02	-1.24504837E+02	1.40818266E+02	
1.06000000E+02	-1.21975475E+02	1.13573588E+02	
1.07000000E+02	-1.20515836E+02	7.78826477E+01	
1.08000000E+02	-1.19878822E+02	3.03223840E+01	
1.09000000E+02	-1.18483025E+02	-1.77502615E+01	
1.10000000E+02	-1.17510692E+02	-5.73677449E+01	
1.11000000E+02	-1.17283219E+02	-9.39120558E+01	
1.12000000E+02	-1.19237631E+02	-1.27283000E+02	
1.13000000E+02	-1.24936750E+02	-1.47172410E+02	
1.14000000E+02	-1.27440152E+02	-6.72668759E+01	
1.15000000E+02	-1.18082977E+02	-7.39465900E+01	
1.16000000E+02	-1.13887370E+02	-1.03071405E+02	
1.17000000E+02	-1.12182058E+02	-1.36266689E+02	
1.18000000E+02	-1.12301855E+02	-1.71815286E+02	
1.19000000E+02	-1.14441188E+02	1.53521060E+02	
1.20000000E+02	-1.19812301E+02	1.13651848E+02	
1.21000000E+02	-1.39317596E+02	4.00657066E+01	
1.22000000E+02	-1.24383059E+02	-1.38888981E+02	
1.23000000E+02	-1.22544367E+02	-1.74117969E+02	
1.24000000E+02	-1.27975575E+02	1.36340177E+02	
1.25000000E+02	-1.27709913E+02	-5.85161395E+01	
1.26000000E+02	-1.17823451E+02	-1.06676090E+02	
1.27000000E+02	-1.14664991E+02	-1.47320794E+02	
1.28000000E+02	-1.14542090E+02	1.71325218E+02	
1.29000000E+02	-1.16972720E+02	1.35232420E+02	
1.30000000E+02	-1.22620123E+02	1.14518369E+02	
1.31000000E+02	-1.27835308E+02	1.25982625E+02	
1.32000000E+02	-1.29148993E+02	9.79642960E+01	
1.33000000E+02	-1.26997794E+02	-3.72146795E+01	
1.34000000E+02	-1.17982086E+02	-1.05277802E+02	
1.35000000E+02	-1.13911382E+02	-1.55332886E+02	
1.36000000E+02	-1.13069580E+02	1.56595205E+02	
1.37000000E+02	-1.14975594E+02	1.08133031E+02	
1.38000000E+02	-1.20655743E+02	5.50722077E+01	
1.39000000E+02	-1.30599640E+02	-4.22333541E+01	
1.40000000E+02	-1.27453768E+02	-1.33215127E+02	
1.41000000E+02	-1.22934728E+02	-1.53579287E+02	
1.42000000E+02	-1.17887501E+02	-1.78950219E+02	
1.43000000E+02	-1.15752265E+02	1.37935103E+02	
1.44000000E+02	-1.16965210E+02	8.23433612E+01	
1.45000000E+02	-1.21878513E+02	-7.57754730E+00	
1.46000000E+02	-1.18896945E+02	-1.25240412E+02	
1.47000000E+02	-1.15780789E+02	1.72661988E+02	
1.48000000E+02	-1.16038574E+02	1.26589485E+02	
1.49000000E+02	-1.18629208E+02	1.01434699E+02	
